CLAVE,UBICACIÓN,ESTADO,MUNICIPIO,POBLACION,LATITUD,LONGITUD,CP,TX,EN HUELLA MBB,USUARIOS ACTIVOS MBB,THP MBB (Mbps)
55,000055-CONSTITUCION,Aguascalientes,Aguascalientes,"7,784",21.937511,-102.28087,20126,FO,MBB,641,15.224
56,000056-ZACATECAS-XXI,Aguascalientes,Aguascalientes,"2,478",21.94543,-102.29632,20908,FO,MBB,308,17.707
57,000057-SUMMA,Aguascalientes,Jesus Maria,"5,288",21.950222,-102.323806,20984,FO,MBB,431,14.890
58,000058-LOS-POCITOS,Aguascalientes,Aguascalientes,"10,969",21.92736,-102.338071,20328,FO,MBB,355,12.982
59,000059-YALTA-CAMPESTRE,Aguascalientes,Jesus Maria,"8,517",21.947659,-102.341327,20925,FO,MBB,798,12.742
60,000060-JESUS-MARIA,Aguascalientes,Jesus Maria,"21,124",21.96337,-102.3422,20920,FO,MBB,1268,7.626
61,000061-INDUSTRIAL-VALLE-DE-AGS,Aguascalientes,Jesus Maria,"62,807",21.96349,-102.2879,20906,FO,MBB,2913,4.493
62,000062-VELA,Aguascalientes,Aguascalientes,"3,752",21.932632,-102.254726,20126,FO,MBB,2134,12.571
63,000063-PIRAMIDES,Aguascalientes,Aguascalientes,"3,980",21.851504,-102.278435,20277,FO,MBB,514,17.433
64,000064-EL-TROJE,Aguascalientes,Jesus Maria,"4,493",21.9402,-102.31052,20983,FO,MBB,361,14.821
65,000065-EUGENIO-GARZA,Aguascalientes,Aguascalientes,"5,533",21.913806,-102.330583,20328,FO,MBB,396,16.398
66,000066-1227-AGUASCALIENTES,Aguascalientes,Aguascalientes,"7,373",21.88507,-102.33727,20326,FO,MBB,700,12.925
70,000070-RINCON-DE-ROMOS,Aguascalientes,Rincon de Romos,"38,645",22.227911,-102.317191,20400,MW,MBB,2528,7.648
77,000077-CANADA-HONDA,Aguascalientes,Aguascalientes,"2,847",22.016608,-102.139806,20324,MW,MBB,298,9.518
80,000080-EL-LLANO,Aguascalientes,El Llano,"7,806",21.81983,-102.10026,20339,FO,MBB,520,0.798
81,000081-OJO-DE-AGUA-MONTES,Aguascalientes,Tepezala,"4,123",22.22036111,-102.16875,20650,FO,MBB,734,20.424
82,000082-CARCEL,Aguascalientes,Aguascalientes,"17,295",21.879091,-102.369531,20316,MW,MBB,599,3.891
84,000084-FRANCISCO-DE-LOS-ROMOS,Aguascalientes,San Francisco de los Romo,"26,483",22.07408,-102.26777,20300,FO,MBB,1476,4.761
85,000085-PABELLON-DE-ARTEAGA,Aguascalientes,Pabellon de Arteaga,"31,119",22.14658,-102.28342,20677,MW,MBB,1389,8.579
100,000100-ARNESES-MEXICANA,Aguascalientes,Calvillo,"3,986",21.80375,-102.7755,20854,MW,MBB,227,8.038
101,000101-CALVILLO-CERRO,Aguascalientes,Calvillo,"15,931",21.87847,-102.65223,20833,MW,MBB,565,6.051
104,000104-PABELLON-DE-HIDALGO,Aguascalientes,Rincon de Romos,"8,109",22.179211,-102.341671,20437,MW,MBB,356,7.994
105,000105-JARILLAS,Aguascalientes,Asientos,"48,519",22.297477,-102.063818,20723,MW,MBB,848,14.694
109,000109-PEMEX-AGS,Aguascalientes,Aguascalientes,"9,093",21.75922,-102.22771,20387,FO,MBB,711,7.203
111,000111-COSIO,Aguascalientes,Cosio,"13,864",22.31536,-102.27912,20472,MW,MBB,450,9.450
112,000112-SAN-JACINTO,Aguascalientes,Rincon de Romos,"6,538",22.34721,-102.23434,20425,MW,MBB,279,2.084
113,000113-FRANCISCO-VILLA,Aguascalientes,Asientos,"1,139",22.09044,-101.9413,20770,Satelital,MBB,204,7.212
115,000115-EL-NOVILLO,Aguascalientes,El Llano,"15,739",22.024841,-102.005971,20334,MW,MBB,489,14.370
117,000117-LA-RIVERA,Aguascalientes,San Francisco de los Romo,"1,475",21.954115,-102.253099,20358,FO,MBB,2839,8.297
121,000121-TRES-CRUCES,Aguascalientes,Aguascalientes,"6,385",21.85628442,-102.3373095,20200,FO,MBB,750,8.287
122,000122-TRES-ELENAS,Aguascalientes,Aguascalientes,"8,924",21.853612,-102.265318,20298,FO,MBB,1305,8.846
123,000123-CARREFOUR,Aguascalientes,Aguascalientes,"12,957",21.85544444,-102.2957778,20280,FO,MBB,712,9.209
124,000124-MARISOL,Aguascalientes,Aguascalientes,"6,433",21.916528,-102.239361,20172,FO,MBB,2253,7.939
126,000126-PALO-ALTO,Aguascalientes,El Llano,"7,025",21.91483623,-101.9758074,20336,Satelital,MBB,592,12.944
127,000127-CIENEGUILLA-LA-LUMBRERA,Aguascalientes,Aguascalientes,"1,724",21.73497,-102.45361,20378,Satelital,MBB,66,12.196
135,000135-SAN-JOSE,Aguascalientes,Aguascalientes,"4,698",21.80278,-102.26825,20298,FO,MBB,2095,5.228
136,000136-LAS-NEGRITAS,Aguascalientes,Asientos,373,21.98606,-101.87979,20799,Satelital,MBB,297,32.832
137,000137-JILOTEPEC,Aguascalientes,Asientos,247,22.03708,-102.07712,20709,Satelital,MBB,106,19.423
139,000139-LA-DICHOSA,Aguascalientes,Asientos,923,22.043523,-102.110035,20709,Satelital,MBB,110,21.050
141,000141-ANGEL-DORRONSORO,Aguascalientes,Aguascalientes,"17,871",21.84389846,-102.2839876,20290,FO,MBB,282,15.344
1001,001001-TAPIAS,Aguascalientes,Jesus Maria,"1,659",21.88599,-102.53156,20955,MW,MBB,244,12.467
10001,010001-AEROPUERTO-TIJUANA,Baja California,Tijuana,"10,149",32.5454,-116.940679,22430,FO,MBB,289,7.971
10002,010002-FUNDADORES,Baja California,Tijuana,"15,496",32.49926,-117.036022,22625,FO,MBB,178,7.416
10003,010003-LOS-MAESTROS,Baja California,Tijuana,"6,468",32.47519,-117.0091,22640,FO,MBB,276,9.216
10004,010004-GUAYCURA,Baja California,Tijuana,"13,189",32.510529,-116.904459,22207,FO,MBB,459,7.488
10005,010005-CANON-SALADO,Baja California,Tijuana,"5,312",32.4817,-116.95802,22116,FO,MBB,152,12.841
10006,010006-NEGRETE,Baja California,Tijuana,"10,289",32.52793,-117.03268,22000,FO,MBB,318,6.510
10007,010007-CIUDAD-INDUSTRIAL,Baja California,Tijuana,"25,140",32.54465,-116.9137,22446,FO,MBB,828,6.270
10008,010008-INSURGENTES-1,Baja California,Tijuana,"11,855",32.50791,-116.95532,22110,FO,MBB,360,5.747
10009,010009-TECNOMEX,Baja California,Tijuana,"19,901",32.52436,-117.10252,22510,FO,MBB,230,8.706
10010,010010-OBRERA,Baja California,Tijuana,"12,114",32.48332,-117.04398,22624,FO,MBB,78,9.088
10011,010011-LIBRAMIENTO-ORIENTE,Baja California,Tijuana,"5,023",32.50119,-117.0578,22620,FO,MBB,127,11.650
10012,010012-PLAZA-TIJUANA,Baja California,Tijuana,"14,238",32.52842,-116.95145,22425,FO,MBB,405,6.648
10013,010013-HOROSCOPO,Baja California,Tijuana,"20,833",32.46254,-116.89846,22224,FO,MBB,771,5.945
10014,010014-ROSARITO-NORTE,Baja California,Playas de Rosarito,"7,989",32.37751,-117.05545,22706,MW,MBB,390,7.680
10015,010015-CAPISTRANO,Baja California,Tijuana,"1,165",32.48841,-116.98927,22194,FO,MBB,33,10.093
10016,010016-BATALLON,Baja California,Tijuana,"10,584",32.47459,-117.02835,22637,FO,MBB,317,9.251
10017,010017-RANCHO-DEL-MAR,Baja California,Playas de Rosarito,"3,466",32.40043,-117.08768,22704,MW,MBB,84,12.319
10018,010018-REFORMA,Baja California,Tijuana,"16,383",32.468828,-116.950508,22183,FO,MBB,498,9.015
10019,010019-JUAREZ,Baja California,Playas de Rosarito,"3,703",32.39476,-117.05146,22706,MW,MBB,181,12.637
10020,010020-LA-MORITA,Baja California,Tijuana,"12,476",32.47747,-116.84364,22245,FO,MBB,1105,5.351
10021,010021-TABOADA,Baja California,Tijuana,"8,478",32.46695,-116.97208,22185,FO,MBB,156,12.308
10022,010022-LAS-CUMBRES,Baja California,Tijuana,"6,692",32.48672,-117.084271,22606,FO,MBB,603,8.960
10023,010023-TERRENO-JARDIN,Baja California,Tijuana,"12,206",32.51114,-117.035,22040,FO,MBB,44,11.314
10024,010024-PARQUE-MORELOS,Baja California,Tijuana,"8,620",32.4976,-116.94321,22226,MW,MBB,63,10.667
10025,010025-RANCHO-TOYOTA,Baja California,Tijuana,"5,031",32.49902,-116.7161,21503,MW,MBB,138,11.707
10026,010026-CUCAPAH,Baja California,Tijuana,"6,474",32.51914,-116.856,22204,FO,MBB,376,5.304
10027,010027-GATO-BRONCO,Baja California,Tijuana,"7,984",32.49346,-116.91949,22216,FO,MBB,585,4.085
10028,010028-AUTOLAVADO-CHULAVISTA,Baja California,Tijuana,"3,776",32.5108,-117.02209,22045,FO,MBB,121,13.504
10029,010029-LAS-HUERTAS,Baja California,Tijuana,"9,191",32.48860833,-116.9485056,22115,FO,MBB,325,6.175
10030,010030-LA-POSTAL,Baja California,Tijuana,"3,013",32.5297,-116.99816,22416,FO,MBB,61,9.020
10032,010032-ESTADIO-POTROS,Baja California,Tijuana,"5,391",32.48281,-116.92042,22223,FO,MBB,313,6.969
10033,010033-EL-AGUILA,Baja California,Tijuana,"6,190",32.49734,-116.90517,22215,FO,MBB,304,6.336
10034,010034-3-DE-OCTUBRE,Baja California,Tijuana,"14,894",32.45826,-116.9337,22126,FO,MBB,570,5.690
10035,010035-CAMINO-VERDE,Baja California,Tijuana,"4,355",32.48603,-116.9817,22190,FO,MBB,203,9.180
10036,010036-MIRAMAR,Baja California,Tijuana,"11,730",32.51452,-117.08364,22526,FO,MBB,180,8.549
10037,010037-CASA-CRUZ-SOLORIO,Baja California,Tijuana,"10,634",32.48399,-117.05487,22604,FO,MBB,496,8.220
10038,010038-MACLOVIO-ROJAS,Baja California,Tijuana,"13,976",32.47381,-116.79143,22254,FO,MBB,626,6.883
10039,010039-HIDALGO,Baja California,Tijuana,"6,133",32.518157,-116.946478,22464,FO,MBB,193,10.102
10040,010040-MATAMOROS-II,Baja California,Tijuana,"7,238",32.52979,-116.88651,22203,FO,MBB,632,4.645
10041,010041-TERRAZAS-DEL-VALLE,Baja California,Tijuana,"15,016",32.49131,-116.831103,22246,FO,MBB,1195,4.501
10042,010042-1347-TIJUANA,Baja California,Tijuana,"2,686",32.54054,-116.87871,22476,FO,MBB,105,10.338
10043,010043-CARRILLO-PUERTO,Baja California,Tijuana,"28,528",32.533319,-117.043864,22000,FO,MBB,433,7.756
10044,010044-LOS-VALLES-II,Baja California,Tijuana,"8,907",32.39471,-116.95306,22164,MW,MBB,1750,8.812
10045,010045-VALLE-DORADO,Baja California,Tijuana,"12,937",32.412673,-116.960344,22170,FO,MBB,849,4.878
10046,010046-SAN-LUIS,Baja California,Tijuana,"5,313",32.42758,-116.95369,22170,FO,MBB,775,5.393
10047,010047-PARQUE-MEXICO,Baja California,Tijuana,"10,991",32.52787,-117.11703,22500,FO,MBB,251,10.435
10048,010048-CARMONA,Baja California,Tijuana,"2,962",32.532091,-116.984312,22410,FO,MBB,350,7.750
10049,010049-PACIFICO-IND,Baja California,Tijuana,"19,705",32.45432,-116.97419,22644,FO,MBB,537,12.729
10050,010050-EL-NINO,Baja California,Tijuana,"5,799",32.51218,-116.78958,22330,FO,MBB,358,5.614
10051,010051-CORREDOR-2000,Baja California,Tijuana,"10,013",32.46391,-116.83514,22253,FO,MBB,801,6.482
10052,010052-VALLE-IMPERIAL,Baja California,Tijuana,"2,571",32.5102,-116.83616,22204,FO,MBB,226,8.953
10053,010053-VIA-RAPIDA,Baja California,Tijuana,"5,956",32.51672,-116.97836,22426,FO,MBB,59,13.163
10054,010054-OTAY-GALERIAS,Baja California,Tijuana,"5,130",32.5347,-116.937322,22436,MW,MBB,121,9.319
10055,010055-ATIPLANO,Baja California,Tijuana,"3,781",32.53352,-116.86156,22204,FO,MBB,265,5.828
10056,010056-CHULAVISTA,Baja California,Tijuana,"1,726",32.50269,-117.02047,22035,FO,MBB,30,8.934
10057,010057-1300-TIJUANA,Baja California,Tijuana,"9,612",32.526099,-117.003588,22416,FO,MBB,186,5.707
10058,010058-SANTA-FE-II,Baja California,Tijuana,"9,130",32.4404,-117.03894,22666,FO,MBB,282,9.840
10059,010059-ALEMAN,Baja California,Tijuana,"6,262",32.535559,-117.062032,22050,FO,MBB,715,7.033
10060,010060-1336-TIJUANA,Baja California,Tijuana,"7,014",32.51015,-116.92947,22210,FO,MBB,306,6.150
10061,010061-1339-TIJUANA,Baja California,Tijuana,"6,402",32.49968,-116.84942,22205,FO,MBB,376,11.006
10062,010062-ROMA,Baja California,Tijuana,"8,398",32.52373,-117.05116,22055,FO,MBB,305,7.614
10063,010063-EL-PIPILA-III,Baja California,Tijuana,"7,363",32.51243,-116.88943,22207,FO,MBB,86,7.023
10064,010064-ALAMAR,Baja California,Tijuana,"10,149",32.51081,-116.96638,22104,FO,MBB,367,8.312
10065,010065-PACIFICO-INDUSTRIAL,Baja California,Tijuana,"10,512",32.478736,-116.99127,22643,FO,MBB,233,9.019
10066,010066-MIRADOR,Baja California,Tijuana,"8,184",32.53171,-117.08794,22520,FO,MBB,277,10.060
10067,010067-1-DE-MAYO,Baja California,Tijuana,"5,570",32.49155,-117.04661,22624,FO,MBB,203,10.986
10068,010068-JARDIN,Baja California,Tijuana,"3,416",32.51124,-117.06563,22610,FO,MBB,166,9.185
10069,010069-TERRENO-BORJA,Baja California,Tijuana,"8,795",32.51521,-117.0071,22014,FO,MBB,226,8.572
10070,010070-CARRETERA-ENS-TIJ,Baja California,Tijuana,"5,769",32.48502,-117.00443,22640,FO,MBB,90,11.397
10071,010071-PARQUE-IND-MEX-HONG,Baja California,Tijuana,"15,337",32.52573,-116.96362,22424,MW,MBB,175,7.447
10073,010073-EL-REFUGIO,Baja California,Tijuana,"10,877",32.45948,-116.81303,22253,MW,MBB,896,3.671
